Song_name,Start_letter,End_letter
Dream,D,M
Reflection (Mirror Night),R,N
Jumpy star,J,R
Wings of piano,W,O
Nine point eight,N,T
Light pollution,L,N
Undo,U,O
Platinum,P,M
Utopiosphere,U,E
Reverse - Parallel Universe,R,E
I hate to tell you,I,U
Saika,S,A
YUBIKIRI-GENMAN,Y,N
Evolution Era,E,A
Invite,I,E
Run Go Run,R,N
Yawning Lion,Y,N
Pulses,P,S
Electron,E,N
Untitled2,U,2
Walking by the sea,W,A
Beyond The Stratus,B,S
Sairai,S,I
Entrance,E,E
Magnolia,M,A
Angelic Sphere,A,E
Leviathan,L,N
Post-script,P,T
Light pollution,L,N
Nine point eight,N,T
Platinum,P,M
Undo,U,O
Pulses,P,S
Reflection (Mirror Night),R,N
Saika,S,A
YUBIKIRI-GENMAN,Y,N
Legacy,L,Y
Fluquor,F,R
Invite,I,E
Suspenseful Third Day,S,Y
Revival,R,L
Angelic Sphere,A,E
Infinite Puzzle,I,E
Altale,A,E
Entrance,E,E
Marigold,M,D
Magnolia,M,A
Suspenseful Third Day,,
Living In The One,,
Legacy,,
Sunset,,
Sakura iro no yume,,
La Promesse,,
ANiMA,,
The Beautiful Moonlight,,
Fluquor,,
Myosotis,,
Altale,,
Altale,,
Run Lads Run,,
Starting Wind,,
Farewell Waltz,,
Revival,,
Ark of Desire,,
Futarimiti,,
Shadow in the mirror,,
nightfall,,
Yaoyue,,
Kimi ga Nokoshita Sekai de,,
Guardian,,
Rainbow's End,,
Post-script,,
H,,
Tree of Dreams,,
White Rain,,
Infinite Puzzle,,
Spring Snowflake Flower,,
Little Love,,
Lonely Pianist,,
Miracle of Daybreak,,
Waltz in Devil's Playground,,
Aquamarine,,
Go or Stay,,
Ruins in the Mirage,,
White Fantasy,,
Last Promise,,
tomoshibi,,
Out of Natura,,
ripples,,
A Little Servant,,
Clover Snow,,
Ensemble Curtain Fall,,
Aquarelle: 010,,
Out of the Box,,
Shedding Season,,
Still-Waking Sleep (DEEMO edit),,
If I Can See You Again,,
Ray Of Sunshine,,
witch hunting,,
LandScape,,
Empedrado,,
Hana no Kotoba,,
Lavuestia Mutanz,,
Matricaria -Pazs cfzj ze Epfbfzm-,,
Dance in the midnight,,
Tempest,,
Arekstrar Nornir,,
saeru,,
in a cradle,,
Lose my mind,,
Alice good night,,
Deemo Goodbye,,
Toshi no kokyu,,
Path and Period,,
Voice of Cell,,
Valle De Los Caidos,,
Lost in the nowhere,,
The 105th Days,,
Reverence (Deemo ver),,
Aragami,,
Parodia Sonatina Var.II,,
Amber Wishes (Deemo edit),,
The way home,,
Marigold,,
Tristesse,,
Intermezzo in A Major,,
Rhapsody in B minor,,
Pathetique,,
Ballade No.1,,
Invention No.1,,
Aufschwung,,
Turkish March,,
Moonlight,,
Flight of the Bumblebee,,
Impromptu No.3,,
Venetian Gondellied,,
Piano Sonata No.3,,
Waltz No.1,,
La Campenella,,
The Story Unfolds,T,S
Hesitant Blade,H,E
Rayark 7th Main Theme,R,E
HYAKKA RYOURAN,H,N
Knots Way,K,Y
Randall,R,L
Will,W,L
Land of Giants,L,S
The secret tale,,
Starry Sky Embrace,,
Out of Ctrl,,
Out of Sense,,
Amagiri,,
A Collection of Names,,
