Game,Song_name,Start_letter,End_letter
Deemo Switch,Dream,D,M
Deemo Switch,Reflection (Mirror Night),R,N
Deemo Switch,Jumpy star,J,R
Deemo Switch,Wings of piano,W,O
Deemo Switch,Nine point eight,N,T
Deemo Switch,Light pollution,L,N
Deemo Switch,Undo,U,O
Deemo Switch,Platinum,P,M
Deemo Switch,Utopiosphere,U,E
Deemo Switch,Reverse - Parallel Universe,R,E
Deemo Switch,I hate to tell you,I,U
Deemo Switch,Saika,S,A
Deemo Switch,YUBIKIRI-GENMAN,Y,N
Deemo Switch,Evolution Era,E,A
Deemo Switch,Invite,I,E
Deemo Switch,Run Go Run,R,N
Deemo Switch,Yawning Lion,Y,N
Deemo Switch,Pulses,P,S
Deemo Switch,Electron,E,N
Deemo Switch,Untitled2,U,2
Deemo Switch,Walking by the sea,W,A
Deemo Switch,Beyond The Stratus,B,S
Deemo Switch,Sairai,S,I
Deemo Switch,Entrance,E,E
Deemo Switch,Magnolia,M,A
Deemo Switch,Angelic Sphere,A,E
Deemo Switch,Leviathan,L,N
Deemo Switch,Post-script,P,T
Deemo Switch,Light pollution,L,N
Deemo Switch,Nine point eight,N,T
Deemo Switch,Platinum,P,M
Deemo Switch,Undo,U,O
Deemo Switch,Pulses,P,S
Deemo Switch,Reflection (Mirror Night),R,N
Deemo Switch,Saika,S,A
Deemo Switch,YUBIKIRI-GENMAN,Y,N
Deemo Switch,Legacy,L,Y
Deemo Switch,Fluquor,F,R
Deemo Switch,Invite,I,E
Deemo Switch,Suspenseful Third Day,S,Y
Deemo Switch,Revival,R,L
Deemo Switch,Angelic Sphere,A,E
Deemo Switch,Infinite Puzzle,I,E
Deemo Switch,Altale,A,E
Deemo Switch,Entrance,E,E
Deemo Switch,Marigold,M,D
Deemo Switch,Magnolia,M,A
Deemo Switch,Suspenseful Third Day,,
Deemo Switch,Living In The One,,
Deemo Switch,Legacy,,
Deemo Switch,Sunset,,
Deemo Switch,Sakura iro no yume,,
Deemo Switch,La Promesse,,
Deemo Switch,ANiMA,,
Deemo Switch,The Beautiful Moonlight,,
Deemo Switch,Fluquor,,
Deemo Switch,Myosotis,,
Deemo Switch,Altale,,
Deemo Switch,Altale,,
Deemo Switch,Run Lads Run,,
Deemo Switch,Starting Wind,,
Deemo Switch,Farewell Waltz,,
Deemo Switch,Revival,,
Deemo Switch,Ark of Desire,,
Deemo Switch,Futarimiti,,
Deemo Switch,Shadow in the mirror,,
Deemo Switch,nightfall,,
Deemo Switch,Yaoyue,,
Deemo Switch,Kimi ga Nokoshita Sekai de,,
Deemo Switch,Guardian,,
Deemo Switch,Rainbow's End,,
Deemo Switch,Post-script,,
Deemo Switch,H,,
Deemo Switch,Tree of Dreams,,
Deemo Switch,White Rain,,
Deemo Switch,Infinite Puzzle,,
Deemo Switch,Spring Snowflake Flower,,
Deemo Switch,Little Love,,
Deemo Switch,Lonely Pianist,,
Deemo Switch,Miracle of Daybreak,,
Deemo Switch,Waltz in Devil's Playground,,
Deemo Switch,Aquamarine,,
